"","State_FIPS_Code","County_FIPS_Code","Premature.death.Value","Poor.or.fair.health.Value","Poor.physical.health.days.Value","Poor.mental.health.days.Value","Low.birthweight.Value","Adult.smoking.Value","Adult.obesity.Value","Food.environment.index.Value","Physical.inactivity.Value","Access.to.exercise.opportunities.Value","Excessive.drinking.Value","Alcohol.impaired.driving.deaths.Value","Sexually.transmitted.infections.Value","Teen.births.Value","Primary.care.physicians.Value","Mental.health.providers.Value","Preventable.hospital.stays.Value","Population.estimate.Value","Percent.of.population.below.18.years.of.age","Percent.of.population.aged.65.years.and.older","Percent.of.population.that.is.non.Hispanic.African.American","Percent.of.population.that.is.American.Indian.or.Alaskan.Native","Percent.of.population.that.is.Asian","Percent.of.population.that.is.Native.Hawaiian.or.Other.Pacific.Islander","Percent.of.population.that.is.Hispanic","Percent.of.population.that.is.non.Hispanic.White","Population.that.is.not.proficient.in.English.Value","Percent.of.population.that.is.female","Population.living.in.a.rural.area.Value","Diabetes.Value","Other.primary.care.providers.Value"
"2","01","001","9,215",0.194,4.4,4.3,0.09,0.187,0.309,7.1,0.287,0.708,0.151,0.318,"416.1",35.2,40,"14",62.38,"55,395",0.252,0.138,0.185,0.005,0.011,0.001,0.027,0.756,0.005,0.514,0.42,0.109,"20"
"3","01","003","7,455",0.16,4.1,4.2,0.09,0.186,0.267,7.6,0.252,0.722,0.151,0.394,"308.2",41.6,75,"87",49.28,"200,111",0.222,0.187,0.094,0.007,0.009,0.001,0.046,0.83,0.014,0.512,0.423,0.109,"34"
"4","01","005","8,500",0.257,4.9,4.7,0.12,0.214,0.408,5.1,0.329,0.453,0.124,0.391,"632.3",67.9,37,"7",60.85,"26,887",0.212,0.165,0.472,0.006,0.005,0.002,0.045,0.466,0.022,0.466,0.678,0.153,"19"
"5","01","007","11,008",0.22,4.8,4.6,0.12,0.21,0.401,7.4,0.332,0.328,0.138,0.344,"367.3",48.4,36,"",73.81,"22,506",0.21,0.148,0.219,0.004,0.002,0.001,0.021,0.745,0.005,0.459,0.684,0.125,"27"
"6","01","009","8,656",0.207,4.6,4.5,0.07,0.194,0.324,8.3,0.285,0.255,0.141,0.192,"159.1",45.3,26,"5",62.87,"57,719",0.236,0.17,0.016,0.006,0.003,0.001,0.087,0.878,0.018,0.505,0.9,0.117,"9"
"7","01","011","10,262",0.293,5.3,4.8,0.14,0.223,0.445,3.9,0.331,0.232,0.113,0.44,"992.9",83.5,38,"28",70.25,"10,764",0.214,0.149,0.691,0.008,0.003,0.007,0.075,0.221,0.026,0.453,0.514,0.173,"65"
"8","01","013","11,155",0.274,5.3,5.1,0.11,0.228,0.36,6,0.344,0.46,0.105,0.31,"773.1",56.6,39,"30",106.01,"20,296",0.236,0.18,0.437,0.004,0.009,0,0.012,0.531,0.004,0.536,0.712,0.162,"44"
"9","01","015","10,352",0.223,4.9,4.9,0.09,0.238,0.32,6.2,0.336,0.593,0.129,0.25,"680.3",47.2,63,"96",77.25,"115,916",0.222,0.16,0.208,0.005,0.009,0.001,0.035,0.729,0.008,0.518,0.337,0.126,"38"
"10","01","017","11,923",0.258,5.1,4.9,0.12,0.208,0.398,5.7,0.348,0.612,0.12,0.333,"901.2",60.7,38,"",62.2,"34,076",0.214,0.183,0.392,0.003,0.008,0.001,0.02,0.568,0.002,0.523,0.491,0.153,"9"
"11","01","019","12,007",0.198,4.6,4.7,0.09,0.198,0.327,7.8,0.31,0.329,0.133,0.2,"222.9",49.8,23,"23",81.36,"26,037",0.204,0.209,0.046,0.005,0.003,0,0.015,0.916,0.001,0.502,0.857,0.125,"23"
"12","01","021","10,790",0.208,4.6,4.6,0.09,0.212,0.371,7.8,0.32,0.323,0.14,0.288,"337.8",58.2,18,"46",73.79,"43,931",0.242,0.152,0.102,0.005,0.004,0.002,0.077,0.803,0.028,0.508,0.867,0.118,"2"
"13","01","023","12,530",0.254,4.9,4.8,0.1,0.19,0.387,5.8,0.338,0.201,0.112,0.4,"432.8",40.7,37,"",68.25,"13,323",0.206,0.208,0.422,0.002,0.003,0,0.008,0.561,0,0.525,1,0.157,"38"
"14","01","025","10,306",0.258,5.3,4.9,0.13,0.212,0.361,4.9,0.302,0.381,0.11,0.333,"763.1",40.8,48,"36",62.25,"24,945",0.226,0.18,0.439,0.004,0.005,0,0.013,0.531,0.002,0.528,0.76,0.155,"40"
"15","01","027","8,484",0.231,5,4.8,0.12,0.204,0.377,7.2,0.362,0.213,0.123,0.333,"521.0",50.3,37,"7",98.55,"13,552",0.216,0.194,0.143,0.006,0.003,0,0.034,0.797,0.009,0.506,1,0.135,"37"
"16","01","029","10,847",0.181,4.3,4.4,0.09,0.185,0.3,7.9,0.332,0.402,0.142,0.304,"323.6",57.2,27,"40",63.52,"15,080",0.233,0.184,0.036,0.004,0.002,0.001,0.025,0.923,0.001,0.504,1,0.11,"27"
"17","01","031","7,296",0.208,4.8,4.6,0.09,0.193,0.302,6.9,0.294,0.708,0.134,0.325,"597.0",41.1,47,"67",59.09,"50,909",0.237,0.159,0.173,0.014,0.016,0.004,0.064,0.713,0.022,0.505,0.472,0.123,"45"
"18","01","033","10,076",0.214,4.8,4.8,0.1,0.185,0.366,7,0.297,0.443,0.134,0.073,"549.2",51.8,55,"26",72.58,"54,543",0.217,0.185,0.16,0.006,0.005,0.001,0.026,0.788,0.004,0.518,0.439,0.134,"99"
"19","01","035","11,853",0.314,5.8,5.3,0.14,0.238,0.372,4.6,0.335,0.001,0.103,0.235,"577.8",52.8,39,"39",144.65,"12,670",0.214,0.204,0.456,0.004,0.001,0,0.018,0.511,0.003,0.519,0.809,0.185,"24"
"20","01","037","10,311",0.247,5.1,4.9,0.12,0.218,0.388,6.6,0.308,0.245,0.123,0.433,"446.8",48.8,9,"9",75.85,"10,886",0.183,0.185,0.313,0.006,0.002,0.002,0.023,0.648,0.007,0.495,1,0.156,"9"
"21","01","039","9,676",0.214,4.8,4.8,0.1,0.199,0.316,7.2,0.355,0.512,0.131,0.326,"400.5",65.6,48,"53",104.98,"37,914",0.221,0.198,0.128,0.006,0.005,0,0.016,0.831,0.007,0.516,0.697,0.129,"50"
