"","State_FIPS_Code","County_FIPS_Code","A_Wh_Comp","A_Bl_Comp","A_Ot_Comp","A_Hi_Comp","B_Wh_Cancer","B_Bl_Cancer","B_Ot_Cancer","B_Hi_Cancer","C_Wh_Suicide","C_Bl_Suicide","C_Ot_Suicide","C_Hi_Suicide","C_Wh_Cancer","C_Bl_Cancer","C_Ot_Cancer","C_Hi_Cancer","D_Wh_Cancer","D_Bl_Cancer","D_Ot_Cancer","D_Hi_Cancer","D_Wh_HeartDis","D_Bl_HeartDis","D_Ot_HeartDis","D_Hi_HeartDis","D_Wh_Suicide","D_Bl_Suicide","D_Ot_Suicide","D_Hi_Suicide","E_Wh_Cancer","E_Bl_Cancer","E_Ot_Cancer","E_Hi_Cancer","E_Wh_HeartDis","E_Bl_HeartDis","E_Ot_HeartDis","E_Hi_HeartDis","F_Wh_HeartDis","F_Bl_HeartDis","F_Ot_HeartDis","F_Hi_HeartDis","F_Wh_Cancer","F_Bl_Cancer","F_Ot_Cancer","F_Hi_Cancer"
"1","01","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,22,12,NA,NA,14,NA,NA,NA,36,23,NA,NA,23,30,NA,NA,32,38,NA,NA,20,19,NA,NA
"2","01","003",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,16,18,NA,NA,13,NA,NA,NA,37,28,NA,NA,22,33,NA,NA,30,32,NA,NA,23,20,NA,NA
"3","01","005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,11,25,NA,NA,18,NA,NA,NA,31,26,NA,NA,29,35,NA,NA,33,29,NA,NA,20,26,NA,NA
"4","01","007",NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,16,21,NA,NA,13,18,NA,NA,12,NA,NA,NA,33,29,NA,NA,23,29,NA,NA,31,26,NA,NA,18,20,NA,NA
"5","01","009",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,18,NA,NA,NA,13,NA,NA,NA,37,NA,NA,NA,23,NA,NA,NA,34,36,NA,NA,20,28,NA,NA
"6","01","011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,15,20,NA,NA,NA,NA,NA,NA,25,26,NA,NA,31,33,NA,NA,39,33,NA,NA,16,20,NA,NA
"7","01","013",NA,NA,NA,NA,NA,NA,NA,NA,13,23,NA,NA,NA,NA,NA,NA,12,10,NA,NA,18,18,NA,NA,NA,NA,NA,NA,35,18,NA,NA,30,34,NA,NA,42,45,NA,NA,17,19,NA,NA
"8","01","015",36,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,15,24,NA,NA,NA,NA,NA,NA,28,23,NA,NA,28,37,NA,NA,34,30,NA,NA,19,20,NA,NA
"9","01","017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,17,NA,NA,18,22,NA,NA,15,NA,NA,NA,30,29,NA,NA,30,34,NA,NA,31,33,NA,NA,18,19,NA,NA
"10","01","019",NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,26,NA,NA,NA,11,NA,NA,NA,35,29,NA,NA,32,33,NA,NA,34,31,NA,NA,21,20,NA,NA
"11","01","021",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,15,NA,NA,23,11,NA,NA,12,NA,NA,NA,30,28,NA,NA,28,30,NA,NA,34,31,NA,NA,18,23,NA,NA
"12","01","023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,12,NA,NA,16,17,NA,NA,NA,NA,NA,NA,32,28,NA,NA,30,36,NA,NA,37,36,NA,NA,23,21,NA,NA
"13","01","025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,23,30,NA,NA,31,30,NA,NA,31,36,NA,NA,19,19,NA,NA
"14","01","027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,32,18,NA,NA,31,37,NA,NA,38,38,NA,NA,19,24,NA,NA
"15","01","029",NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,20,NA,NA,NA,31,NA,NA,NA,25,NA,NA,NA,36,33,NA,NA,23,20,NA,NA
"16","01","031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,NA,NA,13,20,NA,NA,15,NA,NA,NA,34,37,NA,NA,30,29,NA,NA,35,31,NA,NA,21,26,NA,NA
"17","01","033",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,14,26,NA,NA,17,18,NA,NA,14,NA,NA,NA,33,24,NA,NA,28,35,NA,NA,31,31,NA,NA,23,22,NA,NA
"18","01","035",NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,15,13,NA,NA,NA,NA,NA,NA,38,28,NA,NA,31,23,NA,NA,38,39,NA,NA,21,21,NA,NA
"19","01","037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,33,26,NA,NA,35,29,NA,NA,37,30,NA,NA,23,25,NA,NA
"20","01","039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,32,18,NA,NA,31,35,NA,NA,32,33,NA,NA,21,26,NA,NA
"21","01","041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,33,31,NA,NA,27,24,NA,NA,36,37,NA,NA,19,17,NA,NA
