"Provider.ID","Name","City","State","County","Address","lat","long"
10001,"SOUTHEAST ALABAMA MEDICAL CENTER","DOTHAN","AL","HOUSTON","1108 ROSS CLARK CIRCLE
DOTHAN, AL 36301
(31.214048, -85.361727)","31.214048"," -85.361727"
10005,"MARSHALL MEDICAL CENTER SOUTH","BOAZ","AL","MARSHALL","2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
","34.22159","-86.160495"
10006,"ELIZA COFFEE MEMORIAL HOSPITAL","FLORENCE","AL","LAUDERDALE","205 MARENGO STREET
FLORENCE, AL 35631
(34.79366, -87.684348)","34.79366"," -87.684348"
10007,"MIZELL MEMORIAL HOSPITAL","OPP","AL","COVINGTON","702 N MAIN ST
OPP, AL 36467
(31.291972, -86.255415)","31.291972"," -86.255415"
10008,"CRENSHAW COMMUNITY HOSPITAL","LUVERNE","AL","CRENSHAW","101 HOSPITAL CIRCLE
LUVERNE, AL 36049
(31.692595, -86.266156)","31.692595"," -86.266156"
10011,"ST VINCENT'S EAST","BIRMINGHAM","AL","JEFFERSON","50 MEDICAL PARK EAST DRIVE
BIRMINGHAM, AL 35235
(33.59576, -86.664984)","33.59576"," -86.664984"
10012,"DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE","AL","DE KALB","200 MED CENTER DRIVE
FORT PAYNE, AL 35968
(34.440533, -85.75656)","34.440533"," -85.75656"
10016,"SHELBY BAPTIST MEDICAL CENTER","ALABASTER","AL","SHELBY","1000 FIRST STREET NORTH
ALABASTER, AL 35007
(33.253679, -86.814261)","33.253679"," -86.814261"
10018,"CALLAHAN EYE HOSPITAL","BIRMINGHAM","AL","JEFFERSON","1720 UNIVERSITY BLVD
BIRMINGHAM, AL 35233
(33.503137, -86.802401)","33.503137"," -86.802401"
10019,"HELEN KELLER MEMORIAL HOSPITAL","SHEFFIELD","AL","COLBERT","1300 SOUTH MONTGOMERY AVENUE
SHEFFIELD, AL 35660
(34.748249, -87.698866)","34.748249"," -87.698866"
10021,"DALE MEDICAL CENTER","OZARK","AL","DALE","126 HOSPITAL AVE
OZARK, AL 36360
(31.451855, -85.630941)","31.451855"," -85.630941"
10022,"CHEROKEE MEDICAL CENTER","CENTRE","AL","CHEROKEE","400 NORTHWOOD DR
CENTRE, AL 35960
(34.162761, -85.65142)","34.162761"," -85.65142"
10023,"BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY","AL","MONTGOMERY","2105 EAST SOUTH BOULEVARD
MONTGOMERY, AL 36116
(32.327144, -86.276764)","32.327144"," -86.276764"
10024,"JACKSON HOSPITAL & CLINIC INC","MONTGOMERY","AL","MONTGOMERY","1725 PINE STREET
MONTGOMERY, AL 36106
(32.366605, -86.285267)","32.366605"," -86.285267"
10029,"EAST ALABAMA MEDICAL CENTER","OPELIKA","AL","LEE","2000 PEPPERELL PARKWAY
OPELIKA, AL 36801
(32.638055, -85.404003)","32.638055"," -85.404003"
10032,"WEDOWEE HOSPITAL","WEDOWEE","AL","RANDOLPH","209 NORTH MAIN STREET
WEDOWEE, AL 36278
","33.3166328","-85.4874424"
10033,"UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM","AL","JEFFERSON","619 SOUTH 19TH STREET
BIRMINGHAM, AL 35233
(33.506129, -86.801922)","33.506129"," -86.801922"
10034,"COMMUNITY HOSPITAL INC","TALLASSEE","AL","ELMORE","805 FRIENDSHIP ROAD
TALLASSEE, AL 36078
(32.535265, -85.911808)","32.535265"," -85.911808"
10035,"CULLMAN REGIONAL MEDICAL CENTER","CULLMAN","AL","CULLMAN","1912 ALABAMA HIGHWAY 157
CULLMAN, AL 35058
(34.198612, -86.806567)","34.198612"," -86.806567"
