"","State","stateFips","County_FIPS_Code","geographyName","FIPS"
"1","WY","56","045","Weston","56045"
"2","WY","56","043","Washakie","56043"
"3","WY","56","041","Uinta","56041"
"4","WY","56","039","Teton","56039"
"5","WY","56","037","Sweetwater","56037"
"6","WY","56","035","Sublette","56035"
"7","WY","56","033","Sheridan","56033"
"8","WY","56","031","Platte","56031"
"9","WY","56","029","Park","56029"
"10","WY","56","027","Niobrara","56027"
"11","WY","56","025","Natrona","56025"
"12","WY","56","023","Lincoln","56023"
"13","WY","56","021","Laramie","56021"
"14","WY","56","019","Johnson","56019"
"15","WY","56","017","Hot Springs","56017"
"16","WY","56","015","Goshen","56015"
"17","WY","56","013","Fremont","56013"
"18","WY","56","011","Crook","56011"
"19","WY","56","009","Converse","56009"
"20","WY","56","007","Carbon","56007"
"21","WY","56","005","Campbell","56005"
"22","WY","56","003","Big Horn","56003"
"23","WY","56","001","Albany","56001"
"24","WI","55","141","Wood","55141"
"25","WI","55","139","Winnebago","55139"
"26","WI","55","135","Waupaca","55135"
"27","WI","55","133","Waukesha","55133"
"28","WI","55","131","Washington","55131"
"29","WI","55","129","Washburn","55129"
"30","WI","55","127","Walworth","55127"
"31","WI","55","125","Vilas","55125"
"32","WI","55","123","Vernon","55123"
"33","WI","55","121","Trempealeau","55121"
"34","WI","55","119","Taylor","55119"
"35","WI","55","117","Sheboygan","55117"
"36","WI","55","115","Shawano","55115"
"37","WI","55","113","Sawyer","55113"
"38","WI","55","111","Sauk","55111"
"39","WI","55","109","St. Croix","55109"
"40","WI","55","107","Rusk","55107"
"41","WI","55","105","Rock","55105"
"42","WI","55","103","Richland","55103"
"43","WI","55","101","Racine","55101"
"44","WI","55","099","Price","55099"
"45","WI","55","097","Portage","55097"
"46","WI","55","095","Polk","55095"
"47","WI","55","093","Pierce","55093"
"48","WI","55","091","Pepin","55091"
"49","WI","55","089","Ozaukee","55089"
"50","WI","55","087","Outagamie","55087"
"51","WI","55","085","Oneida","55085"
"52","WI","55","083","Oconto","55083"
"53","WI","55","081","Monroe","55081"
"54","WI","55","079","Milwaukee","55079"
"55","WI","55","078","Menominee","55078"
"56","WI","55","077","Marquette","55077"
"57","WI","55","075","Marinette","55075"
"58","WI","55","073","Marathon","55073"
"59","WI","55","071","Manitowoc","55071"
"60","WI","55","069","Lincoln","55069"
"61","WI","55","067","Langlade","55067"
"62","WI","55","065","Lafayette","55065"
"63","WI","55","063","La Crosse","55063"
"64","WI","55","061","Kewaunee","55061"
"65","WI","55","059","Kenosha","55059"
"66","WI","55","057","Juneau","55057"
"67","WI","55","053","Jackson","55053"
"68","WI","55","051","Iron","55051"
"69","WI","55","049","Iowa","55049"
"70","WI","55","047","Green Lake","55047"
"71","WI","55","045","Green","55045"
"72","WI","55","043","Grant","55043"
"73","WI","55","041","Forest","55041"
"74","WI","55","039","Fond du Lac","55039"
"75","WI","55","037","Florence","55037"
"76","WI","55","035","Eau Claire","55035"
"77","WI","55","033","Dunn","55033"
"78","WI","55","031","Douglas","55031"
"79","WI","55","029","Door","55029"
"80","WI","55","027","Dodge","55027"
"81","WI","55","025","Dane","55025"
"82","WI","55","023","Crawford","55023"
"83","WI","55","021","Columbia","55021"
"84","WI","55","019","Clark","55019"
"85","WI","55","017","Chippewa","55017"
"86","WI","55","015","Calumet","55015"
"87","WI","55","013","Burnett","55013"
"88","WI","55","011","Buffalo","55011"
"89","WI","55","009","Brown","55009"
"90","WI","55","007","Bayfield","55007"
"91","WI","55","005","Barron","55005"
"92","WI","55","003","Ashland","55003"
"93","WI","55","001","Adams","55001"
"94","WV","54","109","Wyoming","54109"
"95","WV","54","107","Wood","54107"
"96","WV","54","105","Wirt","54105"
"97","WV","54","103","Wetzel","54103"
"98","WV","54","101","Webster","54101"
"99","WV","54","099","Wayne","54099"
"100","WV","54","097","Upshur","54097"
"101","WV","54","095","Tyler","54095"
"102","WV","54","093","Tucker","54093"
"103","WV","54","091","Taylor","54091"
"104","WV","54","089","Summers","54089"
"105","WV","54","087","Roane","54087"
"106","WV","54","085","Ritchie","54085"
"107","WV","54","083","Randolph","54083"
"108","WV","54","081","Raleigh","54081"
"109","WV","54","079","Putnam","54079"
"110","WV","54","077","Preston","54077"
"111","WV","54","075","Pocahontas","54075"
"112","WV","54","073","Pleasants","54073"
"113","WV","54","071","Pendleton","54071"
"114","WV","54","069","Ohio","54069"
"115","WV","54","067","Nicholas","54067"
"116","WV","54","065","Morgan","54065"
"117","WV","54","063","Monroe","54063"
"118","WV","54","061","Monongalia","54061"
