"","State","stateFips","County_FIPS_Code","geographyName","FIPS"
"1","WY","56","043","Washakie","56043"
"2","WY","56","039","Teton","56039"
"3","WY","56","017","Hot Springs","56017"
"4","WY","56","015","Goshen","56015"
"5","WY","56","001","Albany","56001"
"6","WI","55","141","Wood","55141"
"7","WI","55","139","Winnebago","55139"
"8","WI","55","137","Waushara","55137"
"9","WI","55","135","Waupaca","55135"
"10","WI","55","133","Waukesha","55133"
"11","WI","55","131","Washington","55131"
"12","WI","55","127","Walworth","55127"
"13","WI","55","125","Vilas","55125"
"14","WI","55","123","Vernon","55123"
"15","WI","55","119","Taylor","55119"
"16","WI","55","117","Sheboygan","55117"
"17","WI","55","113","Sawyer","55113"
"18","WI","55","111","Sauk","55111"
"19","WI","55","107","Rusk","55107"
"20","WI","55","105","Rock","55105"
"21","WI","55","103","Richland","55103"
"22","WI","55","101","Racine","55101"
"23","WI","55","099","Price","55099"
"24","WI","55","097","Portage","55097"
"25","WI","55","095","Polk","55095"
"26","WI","55","089","Ozaukee","55089"
"27","WI","55","087","Outagamie","55087"
"28","WI","55","085","Oneida","55085"
"29","WI","55","081","Monroe","55081"
"30","WI","55","079","Milwaukee","55079"
"31","WI","55","078","Menominee","55078"
"32","WI","55","075","Marinette","55075"
"33","WI","55","069","Lincoln","55069"
"34","WI","55","065","Lafayette","55065"
"35","WI","55","063","La Crosse","55063"
"36","WI","55","057","Juneau","55057"
"37","WI","55","055","Jefferson","55055"
"38","WI","55","049","Iowa","55049"
"39","WI","55","045","Green","55045"
"40","WI","55","043","Grant","55043"
"41","WI","55","041","Forest","55041"
"42","WI","55","027","Dodge","55027"
"43","WI","55","025","Dane","55025"
"44","WI","55","023","Crawford","55023"
"45","WI","55","021","Columbia","55021"
"46","WI","55","009","Brown","55009"
"47","WI","55","007","Bayfield","55007"
"48","WI","55","005","Barron","55005"
"49","WI","55","003","Ashland","55003"
"50","WV","54","109","Wyoming","54109"
"51","WV","54","107","Wood","54107"
"52","WV","54","105","Wirt","54105"
"53","WV","54","099","Wayne","54099"
"54","WV","54","097","Upshur","54097"
"55","WV","54","095","Tyler","54095"
"56","WV","54","093","Tucker","54093"
"57","WV","54","091","Taylor","54091"
"58","WV","54","089","Summers","54089"
"59","WV","54","087","Roane","54087"
"60","WV","54","085","Ritchie","54085"
"61","WV","54","083","Randolph","54083"
"62","WV","54","081","Raleigh","54081"
"63","WV","54","079","Putnam","54079"
"64","WV","54","077","Preston","54077"
"65","WV","54","075","Pocahontas","54075"
"66","WV","54","071","Pendleton","54071"
"67","WV","54","069","Ohio","54069"
"68","WV","54","065","Morgan","54065"
"69","WV","54","061","Monongalia","54061"
"70","WV","54","059","Mingo","54059"
"71","WV","54","057","Mineral","54057"
"72","WV","54","055","Mercer","54055"
"73","WV","54","053","Mason","54053"
"74","WV","54","051","Marshall","54051"
"75","WV","54","049","Marion","54049"
"76","WV","54","047","McDowell","54047"
"77","WV","54","045","Logan","54045"
"78","WV","54","043","Lincoln","54043"
"79","WV","54","041","Lewis","54041"
"80","WV","54","039","Kanawha","54039"
"81","WV","54","037","Jefferson","54037"
"82","WV","54","035","Jackson","54035"
"83","WV","54","033","Harrison","54033"
"84","WV","54","031","Hardy","54031"
"85","WV","54","029","Hancock","54029"
"86","WV","54","025","Greenbrier","54025"
"87","WV","54","021","Gilmer","54021"
"88","WV","54","017","Doddridge","54017"
"89","WV","54","015","Clay","54015"
"90","WV","54","013","Calhoun","54013"
"91","WV","54","011","Cabell","54011"
"92","WV","54","009","Brooke","54009"
"93","WV","54","007","Braxton","54007"
"94","WV","54","005","Boone","54005"
"95","WV","54","003","Berkeley","54003"
"96","WA","53","077","Yakima","53077"
"97","WA","53","073","Whatcom","53073"
"98","WA","53","071","Walla Walla","53071"
"99","WA","53","065","Stevens","53065"
"100","WA","53","051","Pend Oreille","53051"
"101","WA","53","049","Pacific","53049"
"102","WA","53","043","Lincoln","53043"
"103","WA","53","039","Klickitat","53039"
"104","WA","53","037","Kittitas","53037"
"105","WA","53","035","Kitsap","53035"
"106","WA","53","033","King","53033"
"107","WA","53","027","Grays Harbor","53027"
"108","WA","53","021","Franklin","53021"
"109","WA","53","017","Douglas","53017"
"110","WA","53","015","Cowlitz","53015"
"111","WA","53","013","Columbia","53013"
"112","WA","53","007","Chelan","53007"
"113","WA","53","005","Benton","53005"
"114","WA","53","003","Asotin","53003"
"115","WA","53","001","Adams","53001"
"116","VA","51","840","Winchester city","51840"
"117","VA","51","830","Williamsburg city","51830"
"118","VA","51","820","Waynesboro city","51820"
"119","VA","51","810","Virginia Beach city","51810"
"120","VA","51","800","Suffolk city","51800"
"121","VA","51","790","Staunton city","51790"
"122","VA","51","775","Salem city","51775"
"123","VA","51","770","Roanoke city","51770"
"124","VA","51","760","Richmond city","51760"
"125","VA","51","750","Radford city","51750"
"126","VA","51","740","Portsmouth city","51740"
"127","VA","51","735","Poquoson city","51735"
"128","VA","51","730","Petersburg city","51730"
"129","VA","51","720","Norton city","51720"
"130","VA","51","710","Norfolk city","51710"
"131","VA","51","700","Newport News city","51700"
"132","VA","51","690","Martinsville city","51690"
"133","VA","51","685","Manassas Park city","51685"
"134","VA","51","683","Manassas city","51683"
"135","VA","51","680","Lynchburg city","51680"
"136","VA","51","678","Lexington city","51678"
"137","VA","51","670","Hopewell city","51670"
"138","VA","51","660","Harrisonburg city","51660"
"139","VA","51","650","Hampton city","51650"
"140","VA","51","640","Galax city","51640"
"141","VA","51","630","Fredericksburg city","51630"
"142","VA","51","620","Franklin city","51620"
"143","VA","51","610","Falls Church city","51610"
"144","VA","51","600","Fairfax city","51600"
"145","VA","51","595","Emporia city","51595"
"146","VA","51","590","Danville city","51590"
"147","VA","51","580","Covington city","51580"
"148","VA","51","570","Colonial Heights city","51570"
"149","VA","51","550","Chesapeake city","51550"
"150","VA","51","540","Charlottesville city","51540"
"151","VA","51","530","Buena Vista city","51530"
"152","VA","51","520","Bristol city","51520"
"153","VA","51","515","Bedford city","51515"
"154","VA","51","510","Alexandria city","51510"
"155","VA","51","199","York","51199"
"156","VA","51","197","Wythe","51197"
"157","VA","51","195","Wise","51195"
"158","VA","51","187","Warren","51187"
"159","VA","51","185","Tazewell","51185"
"160","VA","51","183","Sussex","51183"
"161","VA","51","179","Stafford","51179"
"162","VA","51","177","Spotsylvania","51177"
"163","VA","51","175","Southampton","51175"
